	id	lemma	domain	pos	tagcount	source	status	comment	variant	project	owner	error_comment	verb_aspect	sense id	synset_id	synset	sense_id
130	10202	wyciągać konsekwencje	39	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
131	10203	wyciągać rękę	36	1	0.0	1.0	0.0	sięgać po coś <##nDD> <##VLC: DZn>	1	1			2				
132	10205	wyciągnąć konsekwencje	39	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
133	10206	wyciągnąć rękę	36	1	0.0	1.0	0.0	sięgnąć po coś <##nDD> <##VLC: DZd>	1	1			1				
134	10250	wydobyć z niepamięci	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
135	10251	wydobyć z zapomnienia	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
136	10253	wydobywać z niepamięci	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
137	10254	wydobywać z zapomnienia	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
138	10362	wylewać łzy	35	1	0.0	1.0	4.0	##K: książk. ##D: reagować na coś płaczem, najczęściej pod wpływem bólu lub silnych emocji. [##P: Dziewczynka wylewała rzewne łzy zawsze, gdy widziała czyjąś krzywdę.] <##nDD> <##VLC: CZ>	1	1			2				
139	10382	wymierzyć sprawiedliwość	39	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
140	10405	wynik badania	3	2	5131.0	0.0	0.0	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>	1	1			0				
141	10469	wyprowadzić z równowagi	35	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: WY>	1	1			1				
142	10528	wyrządzić krzywdę	35	1	228.0	0.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
143	10577	wysuwać wniosek	30	1	0.0	1.0	0.0	np. wniosek, postulat, żądanie <##nDD> <##VLC: CZ, ZD>	1	1			2				
144	10593	wytracać prędkość	36	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZn>	1	1			2				
145	10595	wytracić prędkość	36	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
146	10625	wywierać wpływ	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZn>	1	1			2				
147	10633	wywołać z pamięci	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
148	10636	wywoływać z pamięci	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
149	10734	władza ludu	26	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	1			0				
150	10822	zachować w pamięci	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
151	10834	zaciągnąć dług	38	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK, WY>	1	1			1				
152	10835	zaciągnąć pożyczkę	38	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK, WY>	1	1			1				
153	10863	zadać cios	31	1	0.0	1.0	0.0	uderzyć <##nDD> <##VLC: AK>	2	1			1				
154	10887	żądza sukcesu	9	2	0.0	1.0	0.0	"##K: og. ##D: intensywna chęć osiągnięcia powodzenia, bez względu na koszty i warunki. [##P: Żądza sukcesu sprawiła, że zerwał wszelkie relacje, skłócił się z rodziną i myślał tylko o awansie.] {##L: } <##nDD>
##A1: {radość, smutek, złość; użyteczność, krzywda, błąd} amb [Dzięki wielkiej żądzy sukcesu udało mi się wygrać.] [Przez żądzę sukcesu zostawił rodzinę.] ##A2: {radość, smutek, złość; użyteczność, krzywda, błąd} amb [Gdyby nie jego żądza sukcesu, nie zdołałby tak ciężko pracować.] [Żądza sukcesu zaślepiła go i znieczuliła na krzywdę innych.]"	1	1			0				
155	10942	zająć miejsce	28	1	0.0	1.0	0.0	##K: og. ##D: zastąpić kogoś na jakiś stanowisku, przejąć czyjeś funkcje. [##Ko: zająć czyjeś miejsce] [##P: Papież Franciszek zajął miejsce Benedykta na Piotrowym Tronie.] <##nDD> <##VLC: WY>	2	1			1				
156	10944	zająć stanowisko	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
157	10950	zajmować miejsce	28	1	0.0	1.0	0.0	##K: og. ##D: zastępować kogoś na jakiś stanowisku, przejmować czyjeś funkcje. [##Ko: zajmować czyjeś miejsce] [##P: Pani Anders zajmuje miejsce Bartoszewskiego w Radzie Ochrony Pamięci Walki i Męczeństwa.] <##nDD> <##VLC: ZD>	2	1			2				
158	10972	zakończyć życie	28	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: PRd>	1	1			1				
159	11070	zanosić modły	30	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ, ZD>	1	1			2				
160	11113	zapisać w pamięci	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
161	11155	zapuścić oko	37	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
162	11156	zapuścić spojrzenie	37	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
163	11157	zapuścić wzrok	37	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
164	11159	zapuszczać oko	37	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
165	11160	zapuszczać spojrzenie	37	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
166	11161	zapuszczać wzrok	37	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
167	11220	zasięgać opinii	30	1	0.0	1.0	0.0	rady, opinii <##nDD> <##VLC: CZ, ZD>	1	1			2				
168	11221	zasięgnąć rady	30	1	241.0	0.0	0.0	brak danych <##nDD> <##VLC: AK, WY>	1	1			1				
169	11403	zbiór praw	3	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	1			0				
170	11404	zbiór przepisów	3	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	1			0				
171	11432	zdawać relację	30	1	2416.0	0.0	0.0	egzamin:relację <##nDD> <##VLC: CZ>	1	1			2				
172	11521	zespół wokalny	11	2	0.0	1.0	0.0	##K: og. ##D: grupa osób wspólnie wykonujących muzykę z wykorzystaniem głosów. [##W: W konkursie biorą udział chóry amatorskie i zespoły wokalne w jednej z dwu kategorii: chórów kościelnych lub chórów świeckich.] {##L: } <##s> <##nDD>	1	1			0				
